2025-04-11 01:50:48 startup archives unpack
2025-04-11 01:50:48 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2.1
2025-04-11 01:50:48 status half-configured perl-base:amd64 5.38.2-3.2build2
2025-04-11 01:50:48 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-04-11 01:50:48 status half-installed perl-base:amd64 5.38.2-3.2build2
2025-04-11 01:50:50 status unpacked perl-base:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:50 startup packages configure
2025-04-11 01:50:50 configure perl-base:amd64 5.38.2-3.2build2.1 <none>
2025-04-11 01:50:50 status unpacked perl-base:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:50 status half-configured perl-base:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:51 status installed perl-base:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:51 startup archives unpack
2025-04-11 01:50:51 install perl-modules-5.38:all <none> 5.38.2-3.2build2.1
2025-04-11 01:50:51 status half-installed perl-modules-5.38:all 5.38.2-3.2build2.1
2025-04-11 01:50:51 status unpacked perl-modules-5.38:all 5.38.2-3.2build2.1
2025-04-11 01:50:51 install libgdbm6t64:amd64 <none> 1.23-5.1build1
2025-04-11 01:50:51 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2025-04-11 01:50:51 status half-installed libgdbm6t64:amd64 1.23-5.1build1
2025-04-11 01:50:51 status unpacked libgdbm6t64:amd64 1.23-5.1build1
2025-04-11 01:50:51 install libgdbm-compat4t64:amd64 <none> 1.23-5.1build1
2025-04-11 01:50:51 status half-installed libgdbm-compat4t64:amd64 1.23-5.1build1
2025-04-11 01:50:51 status unpacked libgdbm-compat4t64:amd64 1.23-5.1build1
2025-04-11 01:50:51 install libperl5.38t64:amd64 <none> 5.38.2-3.2build2.1
2025-04-11 01:50:51 status half-installed libperl5.38t64:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:51 status unpacked libperl5.38t64:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:51 install perl:amd64 <none> 5.38.2-3.2build2.1
2025-04-11 01:50:51 status half-installed perl:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:51 status unpacked perl:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:51 upgrade libcap2:amd64 1:2.66-5ubuntu2 1:2.66-5ubuntu2.2
2025-04-11 01:50:51 status half-configured libcap2:amd64 1:2.66-5ubuntu2
2025-04-11 01:50:51 status unpacked libcap2:amd64 1:2.66-5ubuntu2
2025-04-11 01:50:51 status half-installed libcap2:amd64 1:2.66-5ubuntu2
2025-04-11 01:50:51 status unpacked libcap2:amd64 1:2.66-5ubuntu2.2
2025-04-11 01:50:51 startup packages configure
2025-04-11 01:50:51 configure libcap2:amd64 1:2.66-5ubuntu2.2 <none>
2025-04-11 01:50:51 status unpacked libcap2:amd64 1:2.66-5ubuntu2.2
2025-04-11 01:50:51 status half-configured libcap2:amd64 1:2.66-5ubuntu2.2
2025-04-11 01:50:51 status installed libcap2:amd64 1:2.66-5ubuntu2.2
2025-04-11 01:50:51 startup archives unpack
2025-04-11 01:50:51 upgrade libssl3t64:amd64 3.0.13-0ubuntu3.4 3.0.13-0ubuntu3.5
2025-04-11 01:50:51 status half-configured libssl3t64:amd64 3.0.13-0ubuntu3.4
2025-04-11 01:50:51 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.4
2025-04-11 01:50:51 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3.4
2025-04-11 01:50:52 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.5
2025-04-11 01:50:52 startup packages configure
2025-04-11 01:50:52 configure libssl3t64:amd64 3.0.13-0ubuntu3.5 <none>
