2025-02-27 20:18:33 startup archives unpack
2025-02-27 20:18:33 upgrade perl-base:amd64 5.38.2-3.2build2 5.38.2-3.2build2.1
2025-02-27 20:18:33 status half-configured perl-base:amd64 5.38.2-3.2build2
2025-02-27 20:18:33 status unpacked perl-base:amd64 5.38.2-3.2build2
2025-02-27 20:18:33 status half-installed perl-base:amd64 5.38.2-3.2build2
2025-02-27 20:18:35 status unpacked perl-base:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:35 startup packages configure
2025-02-27 20:18:35 configure perl-base:amd64 5.38.2-3.2build2.1 <none>
2025-02-27 20:18:35 status unpacked perl-base:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:35 status half-configured perl-base:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:35 status installed perl-base:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:35 startup archives unpack
2025-02-27 20:18:35 install perl-modules-5.38:all <none> 5.38.2-3.2build2.1
2025-02-27 20:18:35 status half-installed perl-modules-5.38:all 5.38.2-3.2build2.1
2025-02-27 20:18:35 status unpacked perl-modules-5.38:all 5.38.2-3.2build2.1
2025-02-27 20:18:35 install libgdbm6t64:amd64 <none> 1.23-5.1build1
2025-02-27 20:18:35 status triggers-pending libc-bin:amd64 2.39-0ubuntu8.3
2025-02-27 20:18:35 status half-installed libgdbm6t64:amd64 1.23-5.1build1
2025-02-27 20:18:35 status unpacked libgdbm6t64:amd64 1.23-5.1build1
2025-02-27 20:18:35 install libgdbm-compat4t64:amd64 <none> 1.23-5.1build1
2025-02-27 20:18:35 status half-installed libgdbm-compat4t64:amd64 1.23-5.1build1
2025-02-27 20:18:35 status unpacked libgdbm-compat4t64:amd64 1.23-5.1build1
2025-02-27 20:18:35 install libperl5.38t64:amd64 <none> 5.38.2-3.2build2.1
2025-02-27 20:18:35 status half-installed libperl5.38t64:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:36 status unpacked libperl5.38t64:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:36 install perl:amd64 <none> 5.38.2-3.2build2.1
2025-02-27 20:18:36 status half-installed perl:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:36 status unpacked perl:amd64 5.38.2-3.2build2.1
2025-02-27 20:18:36 upgrade libcap2:amd64 1:2.66-5ubuntu2 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 status half-configured libcap2:amd64 1:2.66-5ubuntu2
2025-02-27 20:18:36 status unpacked libcap2:amd64 1:2.66-5ubuntu2
2025-02-27 20:18:36 status half-installed libcap2:amd64 1:2.66-5ubuntu2
2025-02-27 20:18:36 status unpacked libcap2:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 startup packages configure
2025-02-27 20:18:36 configure libcap2:amd64 1:2.66-5ubuntu2.2 <none>
2025-02-27 20:18:36 status unpacked libcap2:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 status half-configured libcap2:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 status installed libcap2:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 startup archives unpack
2025-02-27 20:18:36 upgrade libssl3t64:amd64 3.0.13-0ubuntu3.4 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 status half-configured libssl3t64:amd64 3.0.13-0ubuntu3.4
2025-02-27 20:18:36 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.4
2025-02-27 20:18:36 status half-installed libssl3t64:amd64 3.0.13-0ubuntu3.4
2025-02-27 20:18:36 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 startup packages configure
2025-02-27 20:18:36 configure libssl3t64:amd64 3.0.13-0ubuntu3.5 <none>
2025-02-27 20:18:36 status unpacked libssl3t64:amd64 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 status half-configured libssl3t64:amd64 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 status installed libssl3t64:amd64 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 startup archives unpack
2025-02-27 20:18:36 install adduser:all <none> 3.137ubuntu1
2025-02-27 20:18:36 status half-installed adduser:all 3.137ubuntu1
2025-02-27 20:18:36 status unpacked adduser:all 3.137ubuntu1
2025-02-27 20:18:36 startup packages configure
2025-02-27 20:18:36 configure adduser:all 3.137ubuntu1 <none>
2025-02-27 20:18:36 status unpacked adduser:all 3.137ubuntu1
2025-02-27 20:18:36 status half-configured adduser:all 3.137ubuntu1
2025-02-27 20:18:36 status installed adduser:all 3.137ubuntu1
2025-02-27 20:18:36 startup archives unpack
2025-02-27 20:18:36 install openssl:amd64 <none> 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 status half-installed openssl:amd64 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 status unpacked openssl:amd64 3.0.13-0ubuntu3.5
2025-02-27 20:18:36 install ca-certificates:all <none> 20240203
2025-02-27 20:18:36 status half-installed ca-certificates:all 20240203
2025-02-27 20:18:36 status unpacked ca-certificates:all 20240203
2025-02-27 20:18:36 install libcap2-bin:amd64 <none> 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 status half-installed libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 status unpacked libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-02-27 20:18:36 install iputils-ping:amd64 <none> 3:20240117-1build1
2025-02-27 20:18:36 status half-installed iputils-ping:amd64 3:20240117-1build1
2025-02-27 20:18:36 status unpacked iputils-ping:amd64 3:20240117-1build1
2025-02-27 20:18:36 install krb5-locales:all <none> 1.20.1-6ubuntu2.4
2025-02-27 20:18:36 status half-installed krb5-locales:all 1.20.1-6ubuntu2.4
2025-02-27 20:18:36 status unpacked krb5-locales:all 1.20.1-6ubuntu2.4
2025-02-27 20:18:36 install less:amd64 <none> 590-2ubuntu2.1
2025-02-27 20:18:36 status half-installed less:amd64 590-2ubuntu2.1
2025-02-27 20:18:37 status unpacked less:amd64 590-2ubuntu2.1
2025-02-27 20:18:37 install libbsd0:amd64 <none> 0.12.1-1build1.1
2025-02-27 20:18:37 status half-installed libbsd0:amd64 0.12.1-1build1.1
2025-02-27 20:18:37 status unpacked libbsd0:amd64 0.12.1-1build1.1
2025-02-27 20:18:37 install libexpat1:amd64 <none> 2.6.1-2ubuntu0.2
2025-02-27 20:18:37 status half-installed libexpat1:amd64 2.6.1-2ubuntu0.2
2025-02-27 20:18:37 status unpacked libexpat1:amd64 2.6.1-2ubuntu0.2
2025-02-27 20:18:37 install libkrb5support0:amd64 <none> 1.20.1-6ubuntu2.4
2025-02-27 20:18:37 status half-installed libkrb5support0:amd64 1.20.1-6ubuntu2.4
